Country,ReleaseDate,OpenWeekend,OpenWeekendTheater,MaxTheater,TheaterEngage,TotalBoxOfficeReportDate
Argentina,4/26/2019
Australia,4/24/2019
Brazil,4/25/2019
Bulgaria,4/26/2019
China,4/23/2019
Czech Republic,4/26/2019
France,4/24/2019
Germany,4/24/2019
Hong Kong,4/24/2019
India,4/26/2019
Indonesia,4/24/2019
Italy,4/24/2019
Japan,4/26/2019
Lithuania,4/26/2019
Malaysia,4/24/2019
Mexico,4/26/2019
Netherlands,4/26/2019
North America,4/26/2019
Philippines,4/24/2019
Poland,4/26/2019
Portugal,4/26/2019
Russia,4/29/2019
Slovakia,4/26/2019
South Korea,4/24/2019
Spain,4/26/2019
Taiwan,4/24/2019
Thailand,4/24/2019
Turkey,4/25/2019
United Kingdom,4/25/2019
